epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.6374526134490968,51.545,1.2479688219070435,72.07,72.07
2,1.055461427084605,82.62166666666667,0.9427278120040894,87.67,87.67
3,0.9105951437632243,88.585,0.8529779865264893,91.08,91.08
4,0.8449625161488851,91.04166666666667,0.7948157125473022,92.6,92.6
5,0.7998828774134318,92.64,0.769015920829773,93.48,93.48
6,0.7698619983037313,93.58833333333334,0.7448301544189453,94.67,94.67
7,0.749142453511556,94.255,0.7343308728218079,94.99,94.99
8,0.7375244292577108,94.57666666666667,0.7229479858398438,95.39,95.39
9,0.7295045234998068,94.79,0.71896228723526,95.38,95.38
10,0.7251032371838888,95.06166666666667,0.716531794166565,95.48,95.48
