epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.6465442996342976,49.89,1.300076823425293,71.52,10.81
2,1.1564747882843018,76.555,0.9901784932136536,85.16,12.89
3,0.9452810204823812,86.72,0.8573052370071411,91.32,20.83
4,0.861511716334025,90.49833333333333,0.8251332593917846,92.06,29.21
5,0.8167182616551717,92.23166666666667,0.7911138147354126,93.63,36.84
6,0.7873151606241862,93.17,0.7613760684013366,94.31,42.12
7,0.7655843287467956,93.9,0.7544402635574341,94.38,46.31
8,0.7515840989430745,94.35,0.7356246223449707,95.01,50.87
9,0.7429716289838155,94.62166666666667,0.7313653666496277,95.22,56.47
10,0.7384085794130961,94.81333333333333,0.7296262539863586,95.18,62.11
