path,status,width,height,size_kb,gray_std,gray_range,flag_small,flag_blank_like,flag_aspect
results_smoke_kaggle_fixcheck\visualizations\highdim_training_results.png,ok,7170,4719,847.75,0.05891928814132072,0.8509803861379623,False,False,False
results_smoke_kaggle_fixcheck\visualizations\static\highdim\highdim_train_loss.png,ok,2952,1751,175.02,0.08729476883051453,0.8509803861379623,False,False,False
results_smoke_kaggle_fixcheck\experiments\beta_sensitivity_training\adam_beta1_beta2_grid_heatmaps.png,ok,4152,3534,270.53,0.27880962552710575,0.8509803861379623,False,False,False
results_smoke_kaggle_fixcheck\experiments\beta_sensitivity_training\adam_beta2_sensitivity_analysis.png,ok,4152,2946,440.05,0.09750437527776568,0.8509803861379623,False,False,False
results_smoke_kaggle_fixcheck\experiments\beta_sensitivity_training\adam_beta_sensitivity_analysis.png,ok,5334,2946,562.74,0.15618305814426645,0.8509803861379623,False,False,False
results_smoke_kaggle_fixcheck\experiments\beta_sensitivity_training\momentum_beta_sensitivity_analysis.png,ok,5334,2946,589.25,0.14711884139424108,0.8509803861379623,False,False,False
results_smoke_kaggle_fixcheck\experiments\ablation_comprehensive\weight_decay\visualizations\accuracy_comparison.png,ok,3552,1752,100.67,0.1512168793787009,1.0,False,False,False
results_smoke_kaggle_fixcheck\experiments\ablation_comprehensive\weight_decay\visualizations\accuracy_distribution.png,ok,4152,1752,117.78,0.09335107869748954,1.0,False,False,False
results_smoke_kaggle_fixcheck\experiments\ablation_comprehensive\weight_decay\visualizations\feature_heatmap.png,ok,2952,2352,87.56,0.19748317631032425,0.8509803861379623,False,False,False
results_smoke_kaggle_fixcheck\experiments\ablation_comprehensive\weight_decay\visualizations\summary_table.png,ok,3315,2033,97.52,0.12630682649018218,1.0,False,False,False
results_smoke_kaggle_fixcheck\experiments\ablation_comprehensive\sam\visualizations\accuracy_comparison.png,ok,3552,1752,88.37,0.15036814142202337,1.0,False,False,False
results_smoke_kaggle_fixcheck\experiments\ablation_comprehensive\sam\visualizations\accuracy_distribution.png,ok,4152,1751,99.17,0.06428950248075765,1.0,False,False,False
results_smoke_kaggle_fixcheck\experiments\ablation_comprehensive\sam\visualizations\feature_heatmap.png,ok,2952,2352,80.29,0.19189869105698684,0.8509803861379623,False,False,False
results_smoke_kaggle_fixcheck\experiments\ablation_comprehensive\sam\visualizations\summary_table.png,ok,3315,2033,88.19,0.1226129388424088,1.0,False,False,False
results_smoke_kaggle_fixcheck\experiments\ablation_comprehensive\momentum\visualizations\accuracy_comparison.png,ok,3552,1752,97.79,0.1563751692094949,1.0,False,False,False
results_smoke_kaggle_fixcheck\experiments\ablation_comprehensive\momentum\visualizations\accuracy_distribution.png,ok,4152,1751,103.58,0.06872854007455498,1.0,False,False,False
results_smoke_kaggle_fixcheck\experiments\ablation_comprehensive\momentum\visualizations\feature_heatmap.png,ok,2952,2352,91.66,0.21950778188573797,0.8509803861379623,False,False,False
results_smoke_kaggle_fixcheck\experiments\ablation_comprehensive\momentum\visualizations\summary_table.png,ok,3315,2033,94.55,0.12472198593320794,1.0,False,False,False
results_smoke_kaggle_fixcheck\experiments\ablation_comprehensive\adaptive_lr\visualizations\accuracy_comparison.png,ok,3552,1752,105.01,0.15397714043736405,1.0,False,False,False
results_smoke_kaggle_fixcheck\experiments\ablation_comprehensive\adaptive_lr\visualizations\accuracy_distribution.png,ok,4152,1752,110.26,0.06951334898516441,1.0,False,False,False
results_smoke_kaggle_fixcheck\experiments\ablation_comprehensive\adaptive_lr\visualizations\feature_heatmap.png,ok,2952,2352,82.99,0.19264246769920576,0.8509803861379623,False,False,False
results_smoke_kaggle_fixcheck\experiments\ablation_comprehensive\adaptive_lr\visualizations\summary_table.png,ok,3315,2033,94.77,0.12559110398455378,1.0,False,False,False
