epoch,phase,seed,torch_version,cuda_available,device,cudnn_deterministic,cudnn_benchmark,time_sec,batch,global_step,train_loss,grad_norm,update_norm,lr,tainted,effective_batch_size,original_batch_size,test_loss,test_accuracy
1,eval,,,,,,,62.75215005874634,,469.0,,,,,False,128.0,128.0,1.835230181503296,0.6377
2,eval,,,,,,,125.90666818618774,,938.0,,,,,False,128.0,128.0,1.386327576828003,0.7684
3,eval,,,,,,,188.88253474235532,,1407.0,,,,,False,128.0,128.0,1.0391446537017823,0.8173
4,eval,,,,,,,251.41998672485352,,1876.0,,,,,False,128.0,128.0,0.808169434261322,0.8416
5,eval,,,,,,,319.7045018672943,,2345.0,,,,,False,128.0,128.0,0.6656241834640503,0.8574
6,eval,,,,,,,392.1552720069885,,2814.0,,,,,False,128.0,128.0,0.5762456638813018,0.8683
7,eval,,,,,,,467.5845003128052,,3283.0,,,,,False,128.0,128.0,0.5176425454616547,0.8759
8,eval,,,,,,,541.0252063274384,,3752.0,,,,,False,128.0,128.0,0.476708271408081,0.8814
9,eval,,,,,,,614.2715485095978,,4221.0,,,,,False,128.0,128.0,0.4464555897712707,0.8867
10,eval,,,,,,,690.2387654781342,,4690.0,,,,,False,128.0,128.0,0.4229069792509079,0.8912
