epoch,train_loss,train_acc,val_loss,val_acc
1,1.4145272450352258,48.08222222222222,1.277707028388977,56.02
2,0.9688355990431525,65.39555555555556,0.9786345899105072,65.12
3,0.7703233686360446,72.95333333333333,0.9194106072187423,67.68
4,0.6429821263829415,77.54444444444445,0.7298920065164566,75.08
5,0.5684225516055118,80.41333333333333,0.5586867168545723,80.68
6,0.5091466908766464,82.36666666666666,0.5965990617871284,79.16
7,0.4667872618883848,83.7,0.6025144636631012,80.0
8,0.43025731485845015,85.02666666666667,0.4758199691772461,83.66
9,0.40000002293593506,86.20444444444445,0.4721261814236641,83.72
10,0.3744066626426171,87.05111111111111,0.4906229510903358,82.88
11,0.34467587412588974,88.23333333333333,0.48903361409902574,83.3
12,0.32537147627127444,88.61111111111111,0.48643766045570375,83.46
13,0.30695940884338185,89.42888888888889,0.4745234712958336,84.14
14,0.2883205847730013,90.07111111111111,0.444225512444973,85.64
15,0.27244103738022124,90.63111111111111,0.4054354250431061,86.24
16,0.2627660278865898,90.90222222222222,0.4573447734117508,84.86
17,0.24754657177254558,91.40444444444445,0.41783730685710907,86.16
18,0.2355748343027451,91.77777777777777,0.38704120367765427,87.1
19,0.22131754929961805,92.38444444444444,0.4042067274451256,87.16
20,0.2131949299523099,92.50222222222222,0.4166538864374161,86.52
