epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.8715096288045248,35.965,1.5193201557159424,46.21,SGD,1
2,1.3518601746241252,54.59333333333333,1.1684075293540954,59.29,SGD,2
3,1.1289411922772723,62.045,0.9613724544525146,71.77,SGD,3
4,0.993601858997345,67.52666666666667,0.8287476272583008,76.02,SGD,4
5,0.8811522954940796,71.895,0.7724314885139465,77.91,SGD,5
6,0.7728521634737651,76.125,0.6445519227981568,81.91,SGD,6
7,0.6826055054982503,79.20333333333333,0.6149040607929229,81.45,SGD,7
8,0.5975968779246013,81.97166666666666,0.5175799990177155,84.55,SGD,8
9,0.5366051686604818,83.93166666666667,0.4343554960727692,87.72,SGD,9
10,0.488711350552241,85.59666666666666,0.4567989338874816,86.81,SGD,10
