epoch,train_loss,train_acc,test_loss,test_acc
1,1.5320669975598653,43.845,1.0628471747398376,60.55
2,0.962612983671824,66.94166666666666,0.7694274677276611,75.22
3,0.6965131175676982,77.79666666666667,0.5652293783187866,81.67
4,0.4936622337977091,84.89,0.3711880615234375,89.25
5,0.38770162580808,88.155,0.3297137967586517,89.98
6,0.3312428428808848,89.87666666666667,0.2861441585898399,91.37
7,0.2823511307239532,91.34666666666666,0.2251361721903085,93.25
8,0.2441950693209966,92.53333333333332,0.2103584365427494,93.6
9,0.2170252486467361,93.36833333333334,0.1991845075905323,93.93
10,0.1969737609783808,93.93333333333334,0.1846568765461445,94.4
