epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.7450032248179117,43.46333333333333,1.405178882789612,63.12,63.12,Unknown,1
2,1.276046956253052,70.59666666666666,1.0466220442771912,84.25,84.25,Unknown,2
3,1.0108119778315223,84.37833333333333,0.9128568939208984,89.2,89.2,Unknown,3
4,0.909662978108724,88.68833333333333,0.8450671060562134,91.36,91.36,Unknown,4
5,0.8546534883499145,90.89333333333332,0.8162037289619446,92.33,92.33,Unknown,5
6,0.8308407370567322,91.62666666666668,0.8044552329063416,92.62,92.62,Unknown,6
7,0.8145620100021362,92.18333333333334,0.7842854431152344,93.46,93.46,Unknown,7
8,0.8025120125134786,92.59666666666666,0.7811737731933593,93.33,93.33,Unknown,8
9,0.7942851050376892,92.98666666666666,0.7738867071151734,93.7,93.7,Unknown,9
10,0.7919880893707275,92.86666666666666,0.7739898839950562,93.71,93.71,Unknown,10
