epoch,optimizer,seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,final_test_acc
1,SGD_Momentum,1213,1.633111455223777,39.34,1.3465689420700073,51.22,0.38599150255322456,87.62,87.62
2,SGD_Momentum,1213,1.1383063574744896,59.175555555555555,1.1529002904891967,59.56,0.38599150255322456,87.62,87.62
3,SGD_Momentum,1213,0.8749810282818296,69.11111111111111,0.9343813627958297,68.02,0.38599150255322456,87.62,87.62
4,SGD_Momentum,1213,0.7130340944806283,74.97777777777777,0.7892999917268753,72.96,0.38599150255322456,87.62,87.62
5,SGD_Momentum,1213,0.6194414034993811,78.70222222222222,0.8957844018936157,71.22,0.38599150255322456,87.62,87.62
6,SGD_Momentum,1213,0.5468658110634848,80.93777777777778,0.6631675869226455,77.02,0.38599150255322456,87.62,87.62
7,SGD_Momentum,1213,0.5017955632541667,82.70444444444445,0.5428142935037613,81.14,0.38599150255322456,87.62,87.62
8,SGD_Momentum,1213,0.45823591634292493,84.08666666666667,0.5238846421241761,81.56,0.38599150255322456,87.62,87.62
9,SGD_Momentum,1213,0.4159970968030393,85.41555555555556,0.5045776471495629,82.72,0.38599150255322456,87.62,87.62
10,SGD_Momentum,1213,0.38812142983078957,86.62444444444445,0.4934637680649757,82.46,0.38599150255322456,87.62,87.62
11,SGD_Momentum,1213,0.36636357102543116,87.21111111111111,0.5299098417162895,81.62,0.38599150255322456,87.62,87.62
12,SGD_Momentum,1213,0.3333879698237235,88.42444444444445,0.43711053431034086,84.96,0.38599150255322456,87.62,87.62
13,SGD_Momentum,1213,0.31631356283006345,88.83333333333333,0.4649363324046135,84.68,0.38599150255322456,87.62,87.62
14,SGD_Momentum,1213,0.2969690416516228,89.66888888888889,0.4351669117808342,85.42,0.38599150255322456,87.62,87.62
15,SGD_Momentum,1213,0.2798724574968219,90.28,0.4568286553025246,84.8,0.38599150255322456,87.62,87.62
16,SGD_Momentum,1213,0.26113723624836316,90.88666666666667,0.39646550416946413,86.38,0.38599150255322456,87.62,87.62
17,SGD_Momentum,1213,0.2519677690738304,91.17333333333333,0.542495197057724,82.94,0.38599150255322456,87.62,87.62
18,SGD_Momentum,1213,0.23684821343472737,91.76222222222222,0.39131825119256974,86.84,0.38599150255322456,87.62,87.62
19,SGD_Momentum,1213,0.22481550758873875,92.09555555555555,0.406344310939312,86.12,0.38599150255322456,87.62,87.62
20,SGD_Momentum,1213,0.2169282117816196,92.40222222222222,0.3642480969429016,88.6,0.38599150255322456,87.62,87.62
