epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,2.302311905415853,11.315,2.298957123565674,20.3,SGD,1
2,2.295705311838786,19.34,2.2917603733062744,20.58,SGD,2
3,2.285935057067871,20.53833333333333,2.277419807434082,19.9,SGD,3
4,2.266101831054688,20.64333333333333,2.2500480960845946,22.04,SGD,4
5,2.230616116841634,23.93166666666667,2.2033954795837403,22.22,SGD,5
6,2.169019890594482,26.328333333333333,2.1192305416107176,29.15,SGD,6
7,2.052341983604431,29.15,1.954986616134644,30.89,SGD,7
8,1.8619433698654173,31.891666666666666,1.7400669803619384,33.03,SGD,8
9,1.6999703502019246,35.69166666666667,1.6182193988800049,37.07,SGD,9
10,1.6270512638727823,37.72833333333333,1.5664161758422852,38.95,SGD,10
