Optimizer,Seed,Dataset,Final_Test_Acc,Mean_Speed,Std_Speed,Smoothness,Oscillation_Index,Mean_Grad_Norm,Std_Grad_Norm
SGD,42,MNIST,96.21,0.10861836,0.035372354,1.7515454292297363,0.018264422,1.0861835758696232,0.3537235774538066
SGD_Momentum,42,MNIST,96.66,0.17419508,0.055504512,0.4685066342353821,0.015031222,0.7970237560840304,0.4272503191158271
Adam,42,MNIST,96.51,0.06471244,0.021750702,0.4649021029472351,0.0064802547,1.0821825284312274,0.3775958312253061
SGD,123,MNIST,96.02,0.10760887,0.033874962,1.749785542488098,0.018518552,1.0760886769876803,0.3387496613559121
SGD_Momentum,123,MNIST,96.7,0.17012073,0.045739032,0.4702301323413849,0.014067961,0.7847226061768877,0.3951646128782526
Adam,123,MNIST,96.52,0.064911634,0.022780914,0.4680921137332916,0.0062564635,1.1043028405734472,0.3982761751967346
SGD,456,MNIST,96.22,0.1057833,0.03245106,1.742506504058838,0.01730025,1.0578329195854252,0.3245106049984548
SGD_Momentum,456,MNIST,96.51,0.16875185,0.05770351,0.4700450301170349,0.014668583,0.7758125777819009,0.4478675990289111
Adam,456,MNIST,96.52,0.06687728,0.021323469,0.4649992287158966,0.0064033885,1.0367274113746086,0.3645979474799001
