optimizer,threshold,convergence_rate_pct,success_count,total_count
Adam,1e-06,10.0,10,100
Adam,1.3141473626117555e-06,10.0,10,100
Adam,1.726983290659436e-06,10.0,10,100
Adam,2.2695105366946684e-06,10.0,10,100
Adam,2.982471286216888e-06,10.0,10,100
Adam,3.919406774847221e-06,10.0,10,100
Adam,5.150678076168122e-06,10.0,10,100
Adam,6.768750009458541e-06,10.0,10,100
Adam,8.895134973108237e-06,10.0,10,100
Adam,1.1689518164985777e-05,10.0,10,100
Adam,1.5361749466718298e-05,10.0,10,100
Adam,2.0187602546790388e-05,10.0,10,100
Adam,2.6529484644318946e-05,10.0,10,100
Adam,3.4863652276780875e-05,10.0,10,100
Adam,4.581597669054491e-05,10.0,10,100
Adam,6.020894493336126e-05,10.0,10,100
Adam,7.912342618981327e-05,10.0,10,100
Adam,0.000103979841848149,100.0,100,100
Adam,0.00013664483492953258,100.0,100,100
Adam,0.00017957144943716409,100.0,100,100
Adam,0.00023598334667821938,100.0,100,100
Adam,0.00031011689265747787,100.0,100,100
Adam,0.0004075392965871778,100.0,100,100
Adam,0.0005355666917706902,100.0,100,100
Adam,0.0007038135554931555,100.0,100,100
Adam,0.0009249147277217336,100.0,100,100
Adam,0.0012154742500762872,100.0,100,100
Adam,0.001597312280060254,100.0,100,100
Adam,0.0020991037201085546,100.0,100,100
Adam,0.002758531617629184,100.0,100,100
Adam,0.003625117049988535,100.0,100,100
Adam,0.004763938010401341,100.0,100,100
Adam,0.006260516572014822,100.0,100,100
Adam,0.008227241341700473,100.0,100,100
Adam,0.010811807510766078,100.0,100,100
Adam,0.014208308325339238,100.0,100,100
Adam,0.018671810912919206,100.0,100,100
Adam,0.024537511066398166,100.0,100,100
Adam,0.03224590545296398,100.0,100,100
Adam,0.04237587160604064,100.0,100,100
Adam,0.05568813990945267,100.0,100,100
Adam,0.07318242219076182,100.0,100,100
Adam,0.09617248711152965,100.0,100,100
Adam,0.1263848202934297,100.0,100,100
Adam,0.16608827826277167,100.0,100,100
Adam,0.21826447283974873,100.0,100,100
Adam,0.2868316813342015,100.0,100,100
Adam,0.37693909753883637,100.0,100,100
Adam,0.495353520895917,100.0,100,100
Adam,0.6509675230458177,100.0,100,100
Adam,0.8554672535565685,100.0,100,100
Adam,1.1242100350620863,100.0,100,100
Adam,1.4773776525985127,100.0,100,100
Adam,1.9414919457438817,100.0,100,100
Adam,2.5514065200312874,100.0,100,100
Adam,3.35292414924956,100.0,100,100
Adam,4.406236427773573,100.0,100,100
Adam,5.790443980602483,100.0,100,100
Adam,7.609496685459884,100.0,100,100
Adam,10.0,100.0,100,100
SAM_Adam,1e-06,10.0,10,100
SAM_Adam,1.3141473626117555e-06,10.0,10,100
SAM_Adam,1.726983290659436e-06,10.0,10,100
SAM_Adam,2.2695105366946684e-06,10.0,10,100
SAM_Adam,2.982471286216888e-06,10.0,10,100
SAM_Adam,3.919406774847221e-06,10.0,10,100
SAM_Adam,5.150678076168122e-06,10.0,10,100
SAM_Adam,6.768750009458541e-06,10.0,10,100
SAM_Adam,8.895134973108237e-06,10.0,10,100
SAM_Adam,1.1689518164985777e-05,10.0,10,100
SAM_Adam,1.5361749466718298e-05,10.0,10,100
SAM_Adam,2.0187602546790388e-05,10.0,10,100
SAM_Adam,2.6529484644318946e-05,10.0,10,100
SAM_Adam,3.4863652276780875e-05,10.0,10,100
SAM_Adam,4.581597669054491e-05,10.0,10,100
SAM_Adam,6.020894493336126e-05,10.0,10,100
SAM_Adam,7.912342618981327e-05,10.0,10,100
SAM_Adam,0.000103979841848149,10.0,10,100
SAM_Adam,0.00013664483492953258,10.0,10,100
SAM_Adam,0.00017957144943716409,10.0,10,100
SAM_Adam,0.00023598334667821938,10.0,10,100
SAM_Adam,0.00031011689265747787,10.0,10,100
SAM_Adam,0.0004075392965871778,10.0,10,100
SAM_Adam,0.0005355666917706902,10.0,10,100
SAM_Adam,0.0007038135554931555,10.0,10,100
SAM_Adam,0.0009249147277217336,10.0,10,100
SAM_Adam,0.0012154742500762872,10.0,10,100
SAM_Adam,0.001597312280060254,10.0,10,100
SAM_Adam,0.0020991037201085546,10.0,10,100
SAM_Adam,0.002758531617629184,10.0,10,100
SAM_Adam,0.003625117049988535,30.0,30,100
SAM_Adam,0.004763938010401341,30.0,30,100
SAM_Adam,0.006260516572014822,70.0,70,100
SAM_Adam,0.008227241341700473,70.0,70,100
SAM_Adam,0.010811807510766078,70.0,70,100
SAM_Adam,0.014208308325339238,70.0,70,100
SAM_Adam,0.018671810912919206,90.0,90,100
SAM_Adam,0.024537511066398166,90.0,90,100
SAM_Adam,0.03224590545296398,100.0,100,100
SAM_Adam,0.04237587160604064,100.0,100,100
SAM_Adam,0.05568813990945267,100.0,100,100
SAM_Adam,0.07318242219076182,100.0,100,100
SAM_Adam,0.09617248711152965,100.0,100,100
SAM_Adam,0.1263848202934297,100.0,100,100
SAM_Adam,0.16608827826277167,100.0,100,100
SAM_Adam,0.21826447283974873,100.0,100,100
SAM_Adam,0.2868316813342015,100.0,100,100
SAM_Adam,0.37693909753883637,100.0,100,100
SAM_Adam,0.495353520895917,100.0,100,100
SAM_Adam,0.6509675230458177,100.0,100,100
SAM_Adam,0.8554672535565685,100.0,100,100
SAM_Adam,1.1242100350620863,100.0,100,100
SAM_Adam,1.4773776525985127,100.0,100,100
SAM_Adam,1.9414919457438817,100.0,100,100
SAM_Adam,2.5514065200312874,100.0,100,100
SAM_Adam,3.35292414924956,100.0,100,100
SAM_Adam,4.406236427773573,100.0,100,100
SAM_Adam,5.790443980602483,100.0,100,100
SAM_Adam,7.609496685459884,100.0,100,100
SAM_Adam,10.0,100.0,100,100
SAM_SGD,1e-06,10.0,10,100
SAM_SGD,1.3141473626117555e-06,10.0,10,100
SAM_SGD,1.726983290659436e-06,10.0,10,100
SAM_SGD,2.2695105366946684e-06,10.0,10,100
SAM_SGD,2.982471286216888e-06,10.0,10,100
SAM_SGD,3.919406774847221e-06,10.0,10,100
SAM_SGD,5.150678076168122e-06,10.0,10,100
SAM_SGD,6.768750009458541e-06,10.0,10,100
SAM_SGD,8.895134973108237e-06,10.0,10,100
SAM_SGD,1.1689518164985777e-05,10.0,10,100
SAM_SGD,1.5361749466718298e-05,10.0,10,100
SAM_SGD,2.0187602546790388e-05,10.0,10,100
SAM_SGD,2.6529484644318946e-05,10.0,10,100
SAM_SGD,3.4863652276780875e-05,10.0,10,100
SAM_SGD,4.581597669054491e-05,10.0,10,100
SAM_SGD,6.020894493336126e-05,10.0,10,100
SAM_SGD,7.912342618981327e-05,10.0,10,100
SAM_SGD,0.000103979841848149,10.0,10,100
SAM_SGD,0.00013664483492953258,10.0,10,100
SAM_SGD,0.00017957144943716409,10.0,10,100
SAM_SGD,0.00023598334667821938,10.0,10,100
SAM_SGD,0.00031011689265747787,10.0,10,100
SAM_SGD,0.0004075392965871778,10.0,10,100
