epoch,phase,seed,torch_version,cuda_available,device,cudnn_deterministic,cudnn_benchmark,time_sec,batch,global_step,train_loss,grad_norm,update_norm,lr,tainted,effective_batch_size,original_batch_size,test_loss,test_accuracy
1,eval,,,,,,,22.304946184158325,,469.0,,,,,False,128.0,128.0,1.8372523580551148,0.6341
2,eval,,,,,,,44.44352746009827,,938.0,,,,,False,128.0,128.0,1.3962147985458373,0.7622
3,eval,,,,,,,66.37149834632874,,1407.0,,,,,False,128.0,128.0,1.0461221385002135,0.814
4,eval,,,,,,,88.00621962547302,,1876.0,,,,,False,128.0,128.0,0.8150409466743469,0.8391
5,eval,,,,,,,109.90503001213074,,2345.0,,,,,False,128.0,128.0,0.6714423460960388,0.8558
6,eval,,,,,,,132.69704341888428,,2814.0,,,,,False,128.0,128.0,0.58109732837677,0.8692
7,eval,,,,,,,157.30895495414734,,3283.0,,,,,False,128.0,128.0,0.5214051191329956,0.8761
8,eval,,,,,,,182.18205666542053,,3752.0,,,,,False,128.0,128.0,0.4793493688583374,0.8816
9,eval,,,,,,,209.440603017807,,4221.0,,,,,False,128.0,128.0,0.4483157482624054,0.8866
10,eval,,,,,,,237.43854665756223,,4690.0,,,,,False,128.0,128.0,0.4246204795837402,0.8899
