epoch,phase,seed,torch_version,cuda_available,device,cudnn_deterministic,cudnn_benchmark,time_sec,batch,global_step,train_loss,grad_norm,update_norm,lr,tainted,effective_batch_size,original_batch_size,test_loss,test_accuracy
1,eval,,,,,,,22.06306862831116,,469.0,,,,,False,128.0,128.0,1.835230181503296,0.6377
2,eval,,,,,,,44.7233510017395,,938.0,,,,,False,128.0,128.0,1.386327576828003,0.7684
3,eval,,,,,,,66.34186244010925,,1407.0,,,,,False,128.0,128.0,1.0391446537017823,0.8173
4,eval,,,,,,,88.40968775749207,,1876.0,,,,,False,128.0,128.0,0.808169434261322,0.8416
5,eval,,,,,,,110.37940526008606,,2345.0,,,,,False,128.0,128.0,0.6656241834640503,0.8574
6,eval,,,,,,,133.44866251945496,,2814.0,,,,,False,128.0,128.0,0.5762456638813018,0.8683
7,eval,,,,,,,157.5327410697937,,3283.0,,,,,False,128.0,128.0,0.5176425454616547,0.8759
8,eval,,,,,,,183.12302684783936,,3752.0,,,,,False,128.0,128.0,0.476708271408081,0.8814
9,eval,,,,,,,209.7349591255188,,4221.0,,,,,False,128.0,128.0,0.4464555897712707,0.8867
10,eval,,,,,,,236.42694640159607,,4690.0,,,,,False,128.0,128.0,0.4229069792509079,0.8912
