epoch,phase,seed,torch_version,cuda_available,device,cudnn_deterministic,cudnn_benchmark,time_sec,batch,global_step,train_loss,grad_norm,update_norm,lr,tainted,effective_batch_size,original_batch_size,test_loss,test_accuracy
1,eval,,,,,,,22.04800033569336,,469.0,,,,,False,128.0,128.0,1.8194941614151,0.6637
2,eval,,,,,,,44.27295184135437,,938.0,,,,,False,128.0,128.0,1.3709542936325074,0.755
3,eval,,,,,,,65.45712161064148,,1407.0,,,,,False,128.0,128.0,1.0273971036911012,0.8095
4,eval,,,,,,,87.23352932929993,,1876.0,,,,,False,128.0,128.0,0.8029632557868958,0.8389
5,eval,,,,,,,109.69381070137024,,2345.0,,,,,False,128.0,128.0,0.662903743648529,0.8567
6,eval,,,,,,,133.61642360687256,,2814.0,,,,,False,128.0,128.0,0.5741432829380035,0.8682
7,eval,,,,,,,158.62687969207764,,3283.0,,,,,False,128.0,128.0,0.5148396141529084,0.8766
8,eval,,,,,,,183.5132358074188,,3752.0,,,,,False,128.0,128.0,0.47352200050354,0.8847
9,eval,,,,,,,210.13358426094052,,4221.0,,,,,False,128.0,128.0,0.4426638455867767,0.8887
10,eval,,,,,,,236.4907739162445,,4690.0,,,,,False,128.0,128.0,0.4191913356304169,0.891
