epoch,phase,seed,torch_version,cuda_available,device,cudnn_deterministic,cudnn_benchmark,time_sec,batch,global_step,train_loss,grad_norm,update_norm,lr,tainted,effective_batch_size,original_batch_size,test_loss,test_accuracy
1,eval,,,,,,,21.96135449409485,,469.0,,,,,False,128.0,128.0,1.8384643026351928,0.6175
2,eval,,,,,,,43.580246448516846,,938.0,,,,,False,128.0,128.0,1.3957527563095091,0.7482
3,eval,,,,,,,64.88503551483154,,1407.0,,,,,False,128.0,128.0,1.049890646648407,0.8033
4,eval,,,,,,,86.78051519393921,,1876.0,,,,,False,128.0,128.0,0.8176972591400147,0.8353
5,eval,,,,,,,109.16840839385986,,2345.0,,,,,False,128.0,128.0,0.6715538400650024,0.8546
6,eval,,,,,,,132.3901002407074,,2814.0,,,,,False,128.0,128.0,0.5789739450454712,0.869
7,eval,,,,,,,157.34403562545776,,3283.0,,,,,False,128.0,128.0,0.5177746089458466,0.8773
8,eval,,,,,,,182.99821710586548,,3752.0,,,,,False,128.0,128.0,0.475100458908081,0.8826
9,eval,,,,,,,209.9448344707489,,4221.0,,,,,False,128.0,128.0,0.4438124247550964,0.8883
10,eval,,,,,,,237.34115314483645,,4690.0,,,,,False,128.0,128.0,0.4199800498008728,0.8908
