epoch,phase,seed,torch_version,cuda_available,device,cudnn_deterministic,cudnn_benchmark,time_sec,batch,global_step,train_loss,grad_norm,update_norm,lr,tainted,effective_batch_size,original_batch_size,test_loss,test_accuracy
1,eval,,,,,,,21.7668719291687,,469.0,,,,,False,128.0,128.0,1.8588686555862424,0.6349
2,eval,,,,,,,43.682663679122925,,938.0,,,,,False,128.0,128.0,1.4125843963623046,0.7426
3,eval,,,,,,,65.68709111213684,,1407.0,,,,,False,128.0,128.0,1.060528985309601,0.8014
4,eval,,,,,,,87.91596722602844,,1876.0,,,,,False,128.0,128.0,0.822141069984436,0.838
5,eval,,,,,,,111.37560391426086,,2345.0,,,,,False,128.0,128.0,0.6725189727306365,0.8577
6,eval,,,,,,,135.50185132026672,,2814.0,,,,,False,128.0,128.0,0.5788495820522308,0.8694
7,eval,,,,,,,160.58362340927124,,3283.0,,,,,False,128.0,128.0,0.5172165523052216,0.8773
8,eval,,,,,,,187.4157829284668,,3752.0,,,,,False,128.0,128.0,0.4745153535842895,0.8833
9,eval,,,,,,,214.35612201690677,,4221.0,,,,,False,128.0,128.0,0.4436185901641846,0.8874
10,eval,,,,,,,242.374285697937,,4690.0,,,,,False,128.0,128.0,0.4198739070653915,0.8924
