epoch,train_acc,test_acc,train_loss,test_loss,optimizer,elapsed_seconds
1,94.87,94.83,0.1835645408789316,0.1815433219313621,GradientClip_None,1
2,96.81,96.36,0.1144967340270678,0.1228834429204464,GradientClip_None,2
3,97.52,96.93,0.0895436196843783,0.1033850122131407,GradientClip_None,3
4,98.07833333333332,97.42,0.0703041849891344,0.0860151769667863,GradientClip_None,4
5,98.29666666666668,97.43,0.0598262655754884,0.0791582601686939,GradientClip_None,5
6,98.845,97.74,0.0458839544057846,0.0721986184932291,GradientClip_None,6
7,99.00833333333334,97.82,0.040071747174859,0.0715403752692043,GradientClip_None,7
8,99.10833333333332,97.91,0.0355977954268455,0.0681912215081974,GradientClip_None,8
9,99.345,97.93,0.0277649878005186,0.0636531654274091,GradientClip_None,9
10,99.49333333333334,98.02,0.023990453522404,0.0629644973524846,GradientClip_None,10
11,99.61333333333332,97.94,0.0209363721167047,0.0645489647208713,GradientClip_None,11
12,99.695,98.02,0.0180329715872804,0.0615152651203796,GradientClip_None,12
13,99.7,98.1,0.0171163733720779,0.0620448656873777,GradientClip_None,13
14,99.82,98.13,0.0141020212252934,0.0595340620786882,GradientClip_None,14
15,99.83666666666667,98.18,0.0128673981989423,0.060569186161831,GradientClip_None,15
