epoch,train_acc,test_acc,train_loss,test_loss,elapsed_seconds,optimizer
1,94.685,94.48,0.1874833600163459,0.1864534338474273,1,GradientClip_10.0
2,96.68,96.33,0.1170191289504369,0.1263655232995748,2,GradientClip_10.0
3,97.50333333333332,96.84,0.0896642344315846,0.1051204993925988,3,GradientClip_10.0
4,98.02333333333333,97.15,0.0714871965408325,0.0896437048092484,4,GradientClip_10.0
5,98.33333333333331,97.46,0.0589460456371307,0.0805476408895105,5,GradientClip_10.0
6,98.815,97.74,0.0464224288026491,0.0750026769407093,6,GradientClip_10.0
7,98.945,97.63,0.0407203541467587,0.0736500118248164,7,GradientClip_10.0
8,99.10166666666667,97.81,0.0363084935004512,0.070608549663797,8,GradientClip_10.0
9,99.335,97.95,0.0278808372701207,0.0655421648289076,9,GradientClip_10.0
10,99.46,97.95,0.0243116642872492,0.0650005770440213,10,GradientClip_10.0
11,99.59833333333331,97.97,0.0209149812748034,0.0650285922836512,11,GradientClip_10.0
12,99.69333333333331,98.04,0.0182097049281001,0.0628883582033217,12,GradientClip_10.0
13,99.73,98.12,0.0165375217959284,0.0623887660001404,13,GradientClip_10.0
14,99.80166666666666,98.14,0.0148153139911592,0.0619360331745585,14,GradientClip_10.0
15,99.85166666666667,98.09,0.0125341550429662,0.0613538500298047,15,GradientClip_10.0
