epoch,train_acc,test_acc,train_loss,test_loss
1,89.83,85.9,0.6107053531646729,0.7315340499877929
2,92.56,89.1,0.5230330444335938,0.6371158852577209
3,94.01,90.15,0.4799750456809997,0.5959791250228882
4,95.09,91.3,0.4426355442047119,0.558838939666748
5,95.69,91.95,0.4153176668643951,0.5345074844360351
6,96.24,92.55,0.4006085571765899,0.5178961882591248
7,96.91,93.15,0.3842376621723175,0.5031520719528199
8,97.35,93.55,0.3765556738853454,0.4924493188858032
9,97.62,93.55,0.3601360321044922,0.4833742523193359
10,97.87,93.75,0.3619766177654266,0.4816988620758056
